"FID_","ID","NAME","X","Y"
,1,"451",0,106.633843,29.713874
,2,"452",1,106.634275,29.713764
,3,"453",2,106.634640,29.713664
,4,"454",3,106.635048,29.713551
,5,"455",4,106.635824,29.713381
,6,"456",5,106.636264,29.713235
,7,"201",6,106.633924,29.714710
,8,"202",7,106.634342,29.714615
,9,"203",8,106.634729,29.714526
,10,"204",9,106.635158,29.714416
,11,"205",10,106.635537,29.714317
,12,"206",11,106.636136,29.714278
,13,"207",12,106.636487,29.715086
,14,"208",13,106.636650,29.715675
,15,"209",14,106.636494,29.716135
,16,"210",15,106.635757,29.716320
,17,"211",16,106.635119,29.716476
,18,"212",17,106.634637,29.716653
,19,"213",18,106.635360,29.717660
,20,"214",19,106.635948,29.717532
,21,"215",20,106.636452,29.717405
,22,"216",21,106.637083,29.717298
,23,"217",22,106.637451,29.718057
,24,"218",23,106.637579,29.718745
,25,"219",24,106.637047,29.719354
,26,"220",25,106.636395,29.719539
,27,"221",26,106.635828,29.719688
,28,"222",27,106.636360,29.720609
,29,"223",28,106.636835,29.720475
,30,"224",29,106.637480,29.720326
,31,"225",30,106.638210,29.720177
,32,"226",31,106.638550,29.721070
,33,"227",32,106.638699,29.721779
,34,"228",33,106.637948,29.722240
,35,"229",34,106.637260,29.722375
,36,"230",35,106.636771,29.722552
,37,"101",36,106.637678,29.723566
,38,"102",37,106.638316,29.723424
,39,"103",38,106.639330,29.723587
,40,"107",39,106.639805,29.724275
,41,"104",40,106.639543,29.725062
,42,"105",41,106.638614,29.725324
,43,"106",42,106.638196,29.725423
,44,"401",43,106.638355,29.726108
,45,"402",44,106.638735,29.726023
,46,"403",45,106.639111,29.725927
,47,"404",46,106.639515,29.725828
,48,"405",47,106.639947,29.725714
,49,"410",48,106.638671,29.726746
,50,"409",49,106.639079,29.726657
,51,"408",50,106.639508,29.726554
,52,"407",51,106.639898,29.726462
,53,"406",52,106.640302,29.726356
,54,"445",53,106.640926,29.725838
,55,"411",54,106.638823,29.727636
,56,"412",55,106.639284,29.727501
,57,"413",56,106.639809,29.727380
,58,"415",57,106.640397,29.727253
,59,"416",58,106.640865,29.728075
,60,"417",59,106.640390,29.728203
,61,"418",60,106.639993,29.728309
,62,"419",61,106.639589,29.728408
,63,"420",62,106.639213,29.728494
,64,"443",63,106.641475,29.727409
,65,"421",64,106.639433,29.729252
,66,"422",65,106.639837,29.729160
,67,"423",66,106.640241,29.729054
,68,"424",67,106.640653,29.728947
,69,"425",68,106.641050,29.728834
,70,"426",69,106.641411,29.729614
,71,"427",70,106.641014,29.729713
,72,"428",71,106.640546,29.729841
,73,"429",72,106.640142,29.729919
,74,"430",73,106.639717,29.730004
,75,"431",74,106.640000,29.730691
,76,"432",75,106.640341,29.730592
,77,"433",76,106.640766,29.730472
,78,"434",77,106.641199,29.730351
,79,"435",78,106.641589,29.730245
,80,"436",79,106.641886,29.731152
,81,"437",80,106.641383,29.731301
,82,"438",81,106.640809,29.731443
,83,"439",82,106.640270,29.731578
,84,"440",83,106.640766,29.732677
,85,"441",84,106.641468,29.732492
,86,"442",85,106.642135,29.732329
