"FID_","ID","ORIG_FID","X","Y"
,1,0,106.633082,29.713498
,1,0,106.635748,29.712781
,1,0,106.635381,29.711467
,1,0,106.633915,29.711795
,1,0,106.634197,29.712620
,1,0,106.632914,29.712979
,1,0,106.633082,29.713498
,2,1,106.632463,29.712336
,2,1,106.632813,29.713365
,2,1,106.632910,29.713332
,2,1,106.632560,29.712303
,2,1,106.632463,29.712336
,3,2,106.632149,29.712897
,3,2,106.632183,29.713033
,3,2,106.632555,29.712941
,3,2,106.632521,29.712805
,3,2,106.632149,29.712897
,4,3,106.632149,29.713462
,4,3,106.632210,29.713705
,4,3,106.632301,29.713682
,4,3,106.632240,29.713439
,4,3,106.632149,29.713462
,5,4,106.632674,29.715360
,5,4,106.632769,29.715331
,5,4,106.632528,29.714621
,5,4,106.632578,29.714606
,5,4,106.632555,29.714545
,5,4,106.632475,29.714572
,5,4,106.632416,29.714593
,5,4,106.632674,29.715360
,6,5,106.632475,29.714572
,6,5,106.632555,29.714545
,6,5,106.632578,29.714606
,6,5,106.633051,29.714480
,6,5,106.633151,29.714453
,6,5,106.633116,29.714321
,6,5,106.632446,29.714495
,6,5,106.632475,29.714572
,7,6,106.633151,29.714453
,7,6,106.633051,29.714480
,7,6,106.633267,29.715171
,7,6,106.633454,29.715121
,7,6,106.633393,29.714894
,7,6,106.633304,29.714923
,7,6,106.633151,29.714453
,8,7,106.632739,29.715516
,8,7,106.632794,29.715725
,8,7,106.633500,29.715540
,8,7,106.633441,29.715313
,8,7,106.633300,29.715350
,8,7,106.633331,29.715466
,8,7,106.632851,29.715592
,8,7,106.632825,29.715493
,8,7,106.632739,29.715516
,9,8,106.634907,29.721868
,9,8,106.634946,29.721997
,9,8,106.635022,29.721974
,9,8,106.634983,29.721845
,9,8,106.634907,29.721868
,10,9,106.635093,29.722103
,10,9,106.635110,29.722161
,10,9,106.635175,29.722142
,10,9,106.635158,29.722084
,10,9,106.635093,29.722103
,11,10,106.635791,29.722743
,11,10,106.635839,29.722911
,11,10,106.635988,29.722868
,11,10,106.635940,29.722700
,11,10,106.635791,29.722743
,12,11,106.635728,29.722608
,12,11,106.635770,29.722734
,12,11,106.635921,29.722684
,12,11,106.635879,29.722558
,12,11,106.635728,29.722608
,13,12,106.635960,29.723684
,13,12,106.636053,29.724007
,13,12,106.636582,29.723855
,13,12,106.636489,29.723532
,13,12,106.635960,29.723684
,14,13,106.636972,29.726270
,14,13,106.637000,29.726373
,14,13,106.637315,29.726287
,14,13,106.637287,29.726184
,14,13,106.636972,29.726270
,15,14,106.637482,29.726128
,15,14,106.637491,29.726154
,15,14,106.637500,29.726178
,15,14,106.637576,29.726151
,15,14,106.637568,29.726128
,15,14,106.637559,29.726103
,15,14,106.637633,29.726077
,15,14,106.637600,29.725984
,15,14,106.637497,29.726020
,15,14,106.637530,29.726111
,15,14,106.637482,29.726128
,16,15,106.637409,29.726360
,16,15,106.637538,29.726317
,16,15,106.637550,29.726351
,16,15,106.637608,29.726330
,16,15,106.637616,29.726354
,16,15,106.637753,29.726309
,16,15,106.637748,29.726292
,16,15,106.637812,29.726271
,16,15,106.637804,29.726245
,16,15,106.637959,29.726196
,16,15,106.637896,29.726016
,16,15,106.637568,29.726128
,16,15,106.637576,29.726151
,16,15,106.637500,29.726178
,16,15,106.637491,29.726154
,16,15,106.637346,29.726203
,16,15,106.637409,29.726360
,17,16,106.637886,29.726265
,17,16,106.637936,29.726434
,17,16,106.638092,29.726388
,17,16,106.638021,29.726147
,17,16,106.637968,29.726163
,17,16,106.637989,29.726234
,17,16,106.637886,29.726265
,18,17,106.637449,29.726600
,18,17,106.637605,29.727016
,18,17,106.637817,29.726959
,18,17,106.637661,29.726543
,18,17,106.637449,29.726600
,19,18,106.637986,29.726670
,19,18,106.638043,29.726875
,19,18,106.638165,29.726841
,19,18,106.638108,29.726636
,19,18,106.637986,29.726670
,20,19,106.637289,29.727341
,20,19,106.637374,29.727675
,20,19,106.638373,29.727421
,20,19,106.638288,29.727087
,20,19,106.637289,29.727341
,21,20,106.637868,29.727754
,21,20,106.637886,29.727822
,21,20,106.638405,29.727687
,21,20,106.638387,29.727619
,21,20,106.637868,29.727754
,22,21,106.637475,29.727939
,22,21,106.637498,29.728023
,22,21,106.637865,29.727922
,22,21,106.637842,29.727838
,22,21,106.637475,29.727939
,23,22,106.638005,29.727971
,23,22,106.638140,29.728433
,23,22,106.638623,29.728292
,23,22,106.638488,29.727830
,23,22,106.638005,29.727971
,24,23,106.638226,29.728545
,24,23,106.638249,29.728621
,24,23,106.638256,29.728643
,24,23,106.638734,29.728496
,24,23,106.638708,29.728411
,24,23,106.638669,29.728422
,24,23,106.638633,29.728304
,24,23,106.638502,29.728344
,24,23,106.638535,29.728451
,24,23,106.638251,29.728538
,24,23,106.638226,29.728545
,25,24,106.638076,29.728495
,25,24,106.638128,29.728659
,25,24,106.638249,29.728621
,25,24,106.638226,29.728545
,25,24,106.638251,29.728538
,25,24,106.638242,29.728510
,25,24,106.638215,29.728519
,25,24,106.638195,29.728457
,25,24,106.638076,29.728495
,26,25,106.637736,29.728610
,26,25,106.637823,29.728891
,26,25,106.638123,29.728798
,26,25,106.638006,29.728421
,26,25,106.637866,29.728464
,26,25,106.637896,29.728560
,26,25,106.637736,29.728610
,27,26,106.637596,29.728286
,27,26,106.637649,29.728447
,27,26,106.637997,29.728332
,27,26,106.637910,29.728068
,27,26,106.637792,29.728107
,27,26,106.637826,29.728210
,27,26,106.637596,29.728286
,28,27,106.638187,29.729126
,28,27,106.638278,29.729371
,28,27,106.638358,29.729585
,28,27,106.638793,29.729478
,28,27,106.638848,29.729464
,28,27,106.638927,29.729444
,28,27,106.638657,29.728732
,28,27,106.638581,29.728754
,28,27,106.638564,29.728759
,28,27,106.638220,29.728857
,28,27,106.638100,29.728892
,28,27,106.638187,29.729126
,29,28,106.638927,29.729444
,29,28,106.638848,29.729464
,29,28,106.638869,29.729551
,29,28,106.638950,29.729530
,29,28,106.638927,29.729444
,30,29,106.638581,29.728754
,30,29,106.638657,29.728732
,30,29,106.638631,29.728630
,30,29,106.638549,29.728653
,30,29,106.638581,29.728754
,31,30,106.638793,29.729478
,31,30,106.638358,29.729585
,31,30,106.638325,29.729591
,31,30,106.638337,29.729639
,31,30,106.638803,29.729513
,31,30,106.638793,29.729478
,32,31,106.638196,29.728773
,32,31,106.638220,29.728857
,32,31,106.638564,29.728759
,32,31,106.638540,29.728674
,32,31,106.638196,29.728773
,33,32,106.638077,29.729159
,33,32,106.638151,29.729409
,33,32,106.638278,29.729371
,33,32,106.638187,29.729126
,33,32,106.638077,29.729159
,34,33,106.638029,29.729563
,34,33,106.638111,29.729779
,34,33,106.638195,29.729747
,34,33,106.638118,29.729546
,34,33,106.638265,29.729490
,34,33,106.638234,29.729408
,34,33,106.637957,29.729514
,34,33,106.637983,29.729580
,34,33,106.638029,29.729563
,35,34,106.638292,29.729913
,35,34,106.638338,29.730089
,35,34,106.639079,29.729896
,35,34,106.639033,29.729720
,35,34,106.638292,29.729913
,36,35,106.638549,29.730320
,36,35,106.638762,29.730954
,36,35,106.639245,29.730816
,36,35,106.639032,29.730182
,36,35,106.638549,29.730320
,37,36,106.638574,29.730174
,37,36,106.638598,29.730259
,37,36,106.638730,29.730222
,37,36,106.638706,29.730137
,37,36,106.638574,29.730174
,38,37,106.638586,29.730117
,38,37,106.638596,29.730157
,38,37,106.638713,29.730127
,38,37,106.638703,29.730087
,38,37,106.638586,29.730117
,39,38,106.638740,29.730069
,39,38,106.638783,29.730217
,39,38,106.639131,29.730117
,39,38,106.639088,29.729969
,39,38,106.638740,29.730069
,40,39,106.639835,29.732177
,40,39,106.639839,29.732330
,40,39,106.639917,29.732328
,40,39,106.639913,29.732175
,40,39,106.639835,29.732177
,41,40,106.639044,29.732317
,41,40,106.639039,29.732429
,41,40,106.639165,29.732435
,41,40,106.639170,29.732323
,41,40,106.639044,29.732317
,42,41,106.642360,29.733735
,42,41,106.642505,29.734173
,42,41,106.642717,29.734106
,42,41,106.642617,29.733799
,42,41,106.642589,29.733808
,42,41,106.642546,29.733675
,42,41,106.642360,29.733735
,43,42,106.642327,29.733646
,43,42,106.642470,29.733598
,43,42,106.642402,29.733392
,43,42,106.642675,29.733312
,43,42,106.642755,29.733543
,43,42,106.642894,29.733501
,43,42,106.642749,29.733115
,43,42,106.642199,29.733273
,43,42,106.642327,29.733646
